Timestamp,"I use my own vehicle (car, bike) to travel in Kathmandu Valley.","I use public transportation (bus, micro bus, tempos) to travel in Kathmandu Valley.","I use school bus, van or office vehicle to travel in Kathmandu Valley.",I use taxi services to travel in Kathmandu Valley.,"I use ride hailing services like Pathao, Sarathi etc to travel in Kathmandu Valley.",I use my family member’s /friend’s/colleague’s bike or car to travel in Kathmandu Valley.,"I am comfortable driving in Kathmandu valley (Pot holes, stray animals, traffic).",My monthly budget includes taxi or ride hailing services usage when required.,It usually takes longer than expected to reach a destination in public transportation,More number of public vehicles are required for early mornings.,More number of public vehicles are required for late evenings.,Public transportation in Kathmandu Valley is overcrowded.,Overcrowding in public transport may be taken by some as an opportunity for sexual harassment.,"I am aware of ride hailing services like Pathao, Sarathi in Kathmandu Valley.",Cleanliness of ride hailing utility services like Pathao and Sarathi would determine whether I will use the service again.,I find drivers in taxis polite and well behaved.,I find drivers engaging in unnecessary casual conversations while providing service.,Driver with good communication skills is important for ride hailing services. ,I would like to select the gender of the driver for taxi or ride hailing service.,I prefer a female driver for taxi or ride hailing service if available.,"Taxi / Ride hailing (Sarathi, Pathao) waiting time needs to be less than 10 minutes.",Current fare in ride hailing services is reasonable.,Best route is taken by taxis to avoid traffic and achieve time efficiency.,"It is reasonable to charge extra fare during festivals (Dashain, Tihar) - Surge Pricing	",I negotiate with the driver while taking taxi services.,Nepal Meter Taxi Association regulation may be violated in taxi meters. ,I feel safe to travel using taxi services taxis during daytime.,I feel safe to travel using taxi services during nighttime.,"I feel safe to travel using ride hailing services  (Sarathi, Pathao) during daytime.","I feel safe to travel using taxi or ride hailing services (Sarathi, Pathao) during night-time. ",I take taxi or ride hailing services when travelling with family or kids.,I don’t mind spending extra on transport during  gatherings and parties that go till late night and involves social drinking.,I will check the rating of riders before taking service in a ride hailing application. ,I will report the feedback of my experience on ridehailing application.,I have contacted the traffic police to report breach of law in transportation services.,"Drivers in ride hailing services (Sarathi, Pathao) should be experienced.","Ride hailing services (Sarathi, Pathao) need to conduct background check of drivers. ",I have internet and mobile phone to use a mobile application for transportation.,I have the necessary knowledge to use a mobile application for transportation.,I can get general guidance and help from others when using mobile applications.,"I can only book ride hailing service (Sarathi, Pathao) through a phone call. ",I trust online digital wallet (eSewa) to use it for ride hailing services payment. ,I don’t mind trying out new applications.	,I will use the ride hailing applications even when there are no promotional offers. ,Gender,Age,Occupation,Marital Status,Income (per annum)
11/22/2019 21:55:30,Frequently,Occasionally,Never,Occasionally,Frequently,Rarely,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Female,21,Student,Single,Not Applicable
11/24/2019 12:15:52,Frequently,Occasionally,Never,Occasionally,Frequently,Rarely,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Female,30,Student,Single,Not Applicable
12/2/2019 16:04:07,Frequently,Rarely,Never,Occasionally,Frequently,Occasionally,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Female,28,Student,Single,Not Applicable
12/3/2019 7:44:44,Rarely,Frequently,Occasionally,Frequently,Frequently,Occasionally,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Female,29,Service,Married,"2,40,001 - 4,80,000"
12/3/2019 7:48:58,Frequently,Rarely,Never,Occasionally,Never,Occasionally,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Female,55,Homemaker,Married,Not Applicable
12/3/2019 11:53:46,Always,Never,Never,Rarely,Rarely,Rarely,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Female,27,Student,Married,Not Applicable
12/3/2019 11:59:04,Frequently,Frequently,Never,Occasionally,Never,Occasionally,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Female,25,Student,Single,"0 - 2,40,000"
12/3/2019 12:05:53,Never,Frequently,Never,Occasionally,Frequently,Rarely,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Female,27,Service,Single,"> 8, 40, 000"
12/3/2019 12:06:43,Rarely,Frequently,Never,Occasionally,Occasionally,Rarely,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Female,26,Service,Single,Not Applicable
12/3/2019 12:17:27,Never,Frequently,Never,Rarely,Rarely,Occasionally,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Female,18,Student,Single,Not Applicable
